Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,109.000000,110.000000,105.209999,109.959999,109.959999,20794800
2016-01-05,110.449997,110.580002,105.849998,107.660004,107.660004,17664600
2016-01-06,105.290001,117.910004,104.959999,117.680000,117.680000,33045700
2016-01-07,116.360001,122.180000,112.290001,114.559998,114.559998,33636700
2016-01-08,116.330002,117.720001,111.099998,111.389999,111.389999,18067100
2016-01-11,112.129997,116.790001,111.199997,114.970001,114.970001,21920400
2016-01-12,116.110001,117.779999,115.080002,116.580002,116.580002,15133500
2016-01-13,114.430000,114.480003,104.529999,106.559998,106.559998,24921600
2016-01-14,105.650002,109.250000,101.209999,107.059998,107.059998,23664800
2016-01-15,102.430000,105.500000,101.720001,104.040001,104.040001,19775100
2016-01-19,106.570000,110.139999,105.550003,107.889999,107.889999,35722800
2016-01-20,108.910004,109.989998,97.050003,107.739998,107.739998,53009400
2016-01-21,108.320000,108.510002,102.099998,102.349998,102.349998,31027500
2016-01-22,104.720001,104.989998,99.220001,100.720001,100.720001,26821800
2016-01-25,99.779999,102.680000,99.000000,99.120003,99.120003,20321100
2016-01-26,99.739998,100.550003,94.849998,97.830002,97.830002,22083900
2016-01-27,96.610001,97.849998,90.589996,91.150002,91.150002,25556200
2016-01-28,93.839996,95.250000,90.110001,94.410004,94.410004,24562300
2016-01-29,92.000000,94.389999,90.629997,91.839996,91.839996,20463900
2016-02-01,91.790001,97.180000,91.300003,94.089996,94.089996,19684500
2016-02-02,95.540001,96.650002,90.730003,91.489998,91.489998,21906500
2016-02-03,92.410004,92.690002,86.139999,90.739998,90.739998,27466000
2016-02-04,89.500000,91.250000,86.540001,89.709999,89.709999,19108600
2016-02-05,88.230003,88.949997,81.860001,82.790001,82.790001,25929300
2016-02-08,80.570000,84.699997,79.949997,83.320000,83.320000,25035600
2016-02-09,81.750000,88.400002,81.550003,86.129997,86.129997,25892900
2016-02-10,89.000000,92.209999,87.419998,88.449997,88.449997,23146500
2016-02-11,87.419998,88.389999,82.910004,86.349998,86.349998,21820300
2016-02-12,86.639999,89.720001,85.260002,87.400002,87.400002,19067700
2016-02-16,89.000000,90.139999,87.540001,89.050003,89.050003,16356600
2016-02-17,90.129997,94.769997,89.639999,94.760002,94.760002,18323800
2016-02-18,94.800003,94.900002,90.309998,90.489998,90.489998,17695300
2016-02-19,89.980003,91.400002,88.029999,89.230003,89.230003,14259200
2016-02-22,90.750000,93.110001,88.300003,91.930000,91.930000,16321800
2016-02-23,91.400002,92.489998,89.050003,89.120003,89.120003,12744400
2016-02-24,88.500000,91.760002,86.699997,91.610001,91.610001,15972800
2016-02-25,91.080002,94.809998,90.209999,94.529999,94.529999,17898800
2016-02-26,95.300003,97.480003,94.250000,94.790001,94.790001,16975200
2016-02-29,94.809998,97.199997,93.339996,93.410004,93.410004,13663100
2016-03-01,94.580002,99.160004,93.610001,98.300003,98.300003,17048800
2016-03-02,98.010002,99.480003,95.900002,97.610001,97.610001,19102800
2016-03-03,97.830002,98.349998,95.389999,97.930000,97.930000,15320900
2016-03-04,98.760002,102.220001,98.320000,101.580002,101.580002,23414600
2016-03-07,101.000000,101.790001,95.250000,95.489998,95.489998,23855200
2016-03-08,95.000000,98.279999,94.500000,96.230003,96.230003,14797000
2016-03-09,96.820000,98.370003,95.000000,98.000000,98.000000,12298700
2016-03-10,98.180000,99.739998,95.449997,97.360001,97.360001,17002100
2016-03-11,99.510002,99.599998,96.050003,97.660004,97.660004,15114300
2016-03-14,97.199997,99.419998,97.169998,98.129997,98.129997,11251900
2016-03-15,97.870003,98.510002,96.430000,97.860001,97.860001,9691800
2016-03-16,97.529999,99.730003,97.500000,99.349998,99.349998,12630500
2016-03-17,99.050003,101.389999,99.000000,99.720001,99.720001,13825000
2016-03-18,100.500000,102.410004,100.010002,101.120003,101.120003,15453500
2016-03-21,101.150002,102.099998,99.500000,101.059998,101.059998,9578500
2016-03-22,100.480003,101.519997,99.199997,99.839996,99.839996,9069900
2016-03-23,99.750000,100.389999,98.809998,99.589996,99.589996,8313500
2016-03-24,98.639999,98.849998,97.070000,98.360001,98.360001,10671100
2016-03-28,98.339996,101.440002,97.820000,101.209999,101.209999,12432200
2016-03-29,101.080002,104.330002,101.000000,104.129997,104.129997,16008900
2016-03-30,104.650002,104.910004,101.480003,102.190002,102.190002,14705000
2016-03-31,102.430000,103.529999,101.050003,102.230003,102.230003,9747500
2016-04-01,102.930000,105.790001,102.470001,105.699997,105.699997,14182400
2016-04-04,105.900002,105.919998,103.199997,104.349998,104.349998,10940400
2016-04-05,103.470001,105.750000,103.250000,104.940002,104.940002,10060900
2016-04-06,105.300003,106.440002,104.250000,104.830002,104.830002,9605800
2016-04-07,104.309998,106.440002,103.599998,104.449997,104.449997,10774900
2016-04-08,105.120003,105.330002,102.820000,103.809998,103.809998,7857600
2016-04-11,104.040001,104.980003,102.620003,102.680000,102.680000,7451300
2016-04-12,103.150002,107.220001,102.209999,106.980003,106.980003,12437000
2016-04-13,108.000000,111.279999,107.879997,109.650002,109.650002,16701700
2016-04-14,110.010002,111.639999,109.150002,110.419998,110.419998,9553700
2016-04-15,110.639999,111.849998,109.779999,111.510002,111.510002,11746100
2016-04-18,109.900002,110.699997,106.019997,108.400002,108.400002,32816400
2016-04-19,99.489998,101.370003,94.199997,94.339996,94.339996,55728800
2016-04-20,94.339996,96.980003,93.139999,96.769997,96.769997,26613500
2016-04-21,97.309998,97.379997,94.779999,94.980003,94.980003,19919400
2016-04-22,94.849998,96.690002,94.209999,95.900002,95.900002,15806300
2016-04-25,95.699997,95.750000,92.800003,93.559998,93.559998,14985400
2016-04-26,93.500000,93.550003,91.250000,92.430000,92.430000,15330900
2016-04-27,92.180000,92.500000,90.209999,91.040001,91.040001,12218900
2016-04-28,91.500000,92.669998,90.089996,90.279999,90.279999,11474900
2016-04-29,90.500000,90.559998,88.209999,90.029999,90.029999,13968000
2016-05-02,90.410004,93.220001,89.889999,93.110001,93.110001,12547000
2016-05-03,92.080002,93.250000,91.300003,91.540001,91.540001,10593900
2016-05-04,91.000000,92.160004,90.349998,90.790001,90.790001,7394700
2016-05-05,90.910004,92.080002,89.250000,89.370003,89.370003,10368500
2016-05-06,88.830002,90.879997,88.110001,90.839996,90.839996,10433900
2016-05-09,90.730003,91.830002,89.900002,90.540001,90.540001,9543700
2016-05-10,91.139999,93.250000,91.089996,92.889999,92.889999,11175900
2016-05-11,92.400002,92.589996,89.900002,90.019997,90.019997,11692900
2016-05-12,90.320000,90.410004,85.739998,87.739998,87.739998,20408100
2016-05-13,87.389999,88.589996,86.260002,87.879997,87.879997,11571400
